Device_Name,Model_Number,Manufacturer,Manual_Version,Publication_Date,Device_Class,Regulatory_Approval_ID,Patient_Population,Indications_for_Use,Contraindications,Sterilization_Method,Number_of_Warnings,Number_of_Cautions,Device_Lifetime_Years,Device_Weight_kg,Max_Operating_Temperature_C,Pub_Year,Device_Weight_kg_log,Publication_Year,Publication_Month,Publication_Day,Risk_Indicator,Device_Category,Year
Surgical Robot,SON113,Sonova,v7.2,14-03-2017,Class II,CE2030,Infant (0-2),Intended for calibration support in cardiac catheterization laboratory environments.,Avoid use if patient has stroke or is receiving antiseptics.,Not Applicable,23,28,7,17.99,33,2017,2.943912525,2017,3,14,51,Low,2017
Surgical Drill,Model 6246,Hoya Corporation,Version 20,25-03-2015,Class III,MDR-375418,Adult (18-65),Indicated for continuous vital signs monitoring during ophthalmic surgical procedures.,Avoid use in patients with heart valves or dental implants. Not suitable for extreme temperature environments.,Dry Heat,12,24,10,8.67,32,2015,2.269028309,2015,3,25,36,Very Low,2015
Syringe Pump,Model 8632,Alcon,2025-02-B,30-11-2025,Class IIa,CE1801,Adult,Indicated for real-time pulmonary function assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Pre-Sterilized,7,19,12,7.4,23,2025,2.128231706,2025,11,30,26,Very Low,2025
Surgical Robot,Pro577,Dentsply Sirona,Rev. 7.0,21-09-2022,Class II,K501989,Neonatal,Used for wound irrigation administration in pediatric hospital units under specialist supervision.,Avoid use in patients with hepatic dysfunction or severe bleeding disorders.,UV Sterilization,18,15,6,5.44,26,2022,1.86252854,2022,9,21,33,Very Low,2022
Blood Pressure Monitor,A-8837,Cook Medical,v3.3,20-05-2023,Class I,P193551,Adult,Designed for infection control assistance in geriatric care facilities for elderly patients.,Contraindicated in patients with severe pulmonary edema or uncontrolled acute myocardial infarction.,Single-Use Sterile,7,13,9.758918071,6.66,24,2023,2.036011984,2023,5,20,20,Very Low,2023
Infusion Pump,BEC712,Beckman Coulter,2025-12-X,28-07-2025,Class IIb,MDR-349494,Geriatric,Indicated for routine imaging screening in outpatient clinical facilities.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,13,18,11,7.5,25,2025,2.140066163,2025,7,28,31,Very Low,2025
Pulse Oximeter,Plus995,Waters Corporation,v3.0,26-04-2024,Class III,CE5653,Neonatal,Used for wound irrigation guidance in oncology treatment centers for cancer patients.,Do not use in patients with uncontrolled seizures or severe severe osteoporosis.,Pre-Sterilized,3,8,3,0.41,20,2024,0.343589704,2024,4,26,11,Very Low,2024
Electrosurgical Unit,Model 8320,Ge Healthcare,Version 16,18-01-2018,Class III,HC-907433,Infant (0-2),Used for emergency surgical intervention in acute stroke situations requiring immediate care.,Contraindicated in patients with severe anemia or frostbite risk.,Gamma Irradiation,16,19,12,11.16,10,2018,2.498151877,2018,1,18,35,Low,2018
Infusion Pump,Max212,B. Braun,2022-11-K,22-01-2020,Class III,Q109578,Adult (>65),Intended for patient positioning support in cardiac catheterization laboratory environments.,Do not use if structural defects is present or wound is infected.,Dry Heat,14,17,10,5.7,33,2020,1.902107526,2020,1,22,31,Very Low,2020
Insulin Pump,Z-1952,Hologic,v4.4,4-06-2021,Class IIa,P783832,All,Designed for pain management optimization in chronic disease management programs.,Not recommended for patients with severe hypertension or severe pacemakers.,Gamma Irradiation,8,17,11,3.49,19,2021,1.501852702,2021,6,4,25,Very Low,2021
Ventilator,NIP922,Nipro Corporation,Rev. 10.2,8-08-2018,Class III,PMDA-501871,Adult and Pediatric,Used for emergency defibrillation in acute hypertension situations requiring immediate care.,Do not use if malformations is present or wound is infected.,Hydrogen Peroxide Plasma,25,29,9.758918071,109.87,39,2018,4.708358344,2018,8,8,54,Very Heavy,2018
Blood Glucose Monitor,Z-1919,Convatec,2023-12-B,4-08-2020,Class IIa,CE5653,Pediatric (2-18),Intended for patient positioning support in cardiac catheterization laboratory environments.,Avoid use in patients with active sepsis or compromised nervous function.,Single-Use Sterile,6,16,4,0.47,26.7,2020,0.385262401,2020,8,4,22,Very Low,2020
Defibrillator,Max759,Fresenius Medical Care,Rev. 4.1,24-09-2025,Class III,CE5653,Geriatric,Used for long-term dialysis delivery in ambulatory care settings for diabetes patients.,Avoid use if patient has severe hypertension or history of blood clots.,Autoclave,21,25,11,14.67,31,2025,2.751748056,2025,9,24,46,Low,2025
Blood Pressure Monitor,COO473,Cook Medical,2024-10-Y,7-10-2020,Class II,PMDA-859050,Geriatric,Indicated for pH levels optimization in sleep medicine centers for respiratory disorders.,Do not use in patients with active infections. Contraindicated in underwater environments.,Not Applicable,15,14,11,3.05,31,2020,1.398716881,2020,10,7,29,Very Low,2020
Ultrasound Scanner,C-5724,Karl Storz,v14.6,8-05-2019,Class I,IVDR-777609,Adult,Intended for infection prevention support in cardiac catheterization laboratory environments.,"Not recommended during pregnancy, lactation, or in pregnant under 13 years.",Chemical Sterilization,4,7,3,19.9,36,2019,3.039749159,2019,5,8,11,Low,2019
Patient Monitor,Model 6707,Zeiss Medical Technology,Rev. 5.1,30-11-2021,Class II,D101562,Infant (0-2),Intended for monitoring and measuring pH levels in hemodynamically unstable patients in hospital and clinical settings.,Avoid use in patients with active thrombocytopenia or compromised cardiovascular function.,Chemical Sterilization,5,18,10,3.22,16,2021,1.439835128,2021,11,30,23,Very Low,2021
Digital Thermometer,ALC385,Alcon,2025-05-U,28-12-2022,Class IIb,BLA846341,Pediatric (2-18),Designed for perioperative central venous pressure management during urological interventions.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,10,12,7,0.21,24,2022,0.19062036,2022,12,28,22,Very Low,2022
Surgical Robot,DEN771,Dentsply Sirona,2022-09-L,8-04-2018,Class III,NMPA-568406,Pediatric,Used for long-term cardiac therapy delivery in ambulatory care settings for stroke patients.,Do not use in patients with thrombocytopenia. Contraindicated in unsupervised use.,UV Sterilization,24,26,5,11.81,23,2018,2.550226116,2018,4,8,50,Low,2018
Anesthesia Machine,KAR205,Karl Storz,2022-10-K,6-05-2025,Class I,IVDR-646280,Adult (18-65),Intended for infection control evaluation in rehabilitation medicine for critical illness recovery.,Do not use if battery depletion is detected or quality control has expired.,Single-Use Sterile,21,20,11,90.12,31,2025,4.512177319,2025,5,6,41,Very Heavy,2025
Nebulizer,Model 3656,Coloplast,v15.7,23-01-2023,Class III,BLA233614,Adult (>65),Indicated for ECG readings analysis in laboratory diagnostic testing environments.,Contraindicated in patients with acute myocardial infarction or frostbite risk.,Pre-Sterilized,3,14,6,2.11,34,2023,1.134622726,2023,1,23,17,Very Low,2023
Stent,Plus120,Convatec,Version 7,30-01-2019,Class I,Q915411,Infant (0-2),Used for respiratory support guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or quality control has expired.,Hydrogen Peroxide Plasma,2,13,13,0.18,37,2019,0.165514438,2019,1,30,15,Very Low,2019
Surgical Robot,A-4594,3M Healthcare,Version 6,28-07-2021,Class IIb,D585080,All,Designed for catheterization support in neonatal intensive care environments.,Not suitable for use in unsupervised use with radiation or during training scenarios.,Chemical Sterilization,14,20,12,14.84,19,2021,2.762538386,2021,7,28,34,Low,2021
Electrosurgical Unit,Pro892,Baxter International,v12.1,11-04-2019,Class III,TGA-299744,Pediatric (2-18),Used for long-term respiratory support delivery in ambulatory care settings for hypertension patients.,Do not use during general anesthesia administration or in sedated.,Pre-Sterilized,8,22,8,9.01,23,2019,2.303584593,2019,4,11,30,Very Low,2019
Orthopedic Implant,Max160,Sonova,Version 17,11-11-2017,Class III,K724526,Pediatric (2-18),Used for emergency pacemaker implantation in acute sleep apnea situations requiring immediate care.,Avoid use in patients with uncontrolled seizures or severe renal insufficiency.,Ethylene Oxide (EtO),7,8,12,0.05,40,2017,0.048790164,2017,11,11,15,Very Low,2017
Pulse Oximeter,PHI272,Philips Healthcare,Version 8,16-01-2021,Class III,NDA329304,Adult (18-65),Used for dialysis guidance in oncology treatment centers for cancer patients.,Contraindicated in patients with sepsis or on radioactive materials.,Single-Use Sterile,8,11,7,0.4,20,2021,0.336472237,2021,1,16,19,Very Low,2021
Ultrasound Scanner,BEC181,Becton Dickinson,Rev. 2.0,11-07-2021,Class I,IDE942583,Pediatric (2-18),Designed for home-based dialysis in stable dialysis-dependent patients with chronic chronic conditions.,Avoid use in patients with uncontrolled seizures or severe sepsis.,UV Sterilization,10,5,8,13.33,29,2021,2.662355242,2021,7,11,15,Low,2021
Digital Thermometer,ABB813,Abbott,2022-03-M,8-12-2022,Class II,H766362,Adult and Pediatric,Used for wound irrigation guidance in oncology treatment centers for cancer patients.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,4,10,7,0.48,17,2022,0.392042088,2022,12,8,14,Very Low,2022
CPAP Machine,RES137,Resmed,Version 4,24-09-2023,Class III,K446130,All,Designed for home-based phototherapy in stable diabetic patients with chronic neurological disorders.,Not suitable for use with magnetic materials or in patient transport.,Dry Heat,7,4,13,15.1,31,2023,2.778819272,2023,9,24,11,Low,2023
Wound Care System,Plus806,Mindray,v5.9,14-05-2015,Class II,IDE748150,Pediatric,Used for long-term electrotherapy delivery in ambulatory care settings for diabetes patients.,Do not use if battery depletion is detected or quality control has expired.,Ethylene Oxide (EtO),9,7,14,5.12,12,2015,1.811562097,2015,5,14,16,Very Low,2015
Electrosurgical Unit,Model 4043,Align Technology,Version 13,9-05-2025,Class III,PMA196788,Adult and Pediatric,Designed for pain management optimization in chronic disease management programs.,Do not use in patients with renal insufficiency. Contraindicated in hyperbaric chambers.,Gamma Irradiation,19,27,10,3.24,18,2025,1.444563269,2025,5,9,46,Very Low,2025
CPAP Machine,Model 9576,Sartorius,v13.0,28-12-2023,Class IIa,CE1566,All,Designed for symptom relief assistance in geriatric care facilities for elderly patients.,Avoid use in patients with pulmonary edema or severe cardiomyopathy.,Single-Use Sterile,5,5,10,5.82,14,2023,1.919859472,2023,12,28,10,Very Low,2023
ECG Machine,Model 8940,Mindray,Version 2,26-05-2015,Class II,NDA938546,Pediatric (2-18),Designed for patient rehabilitation in patients with cardiac disorders under medical supervision.,Avoid use if patient has bleeding disorders or is receiving magnetic materials.,Not Applicable,8,10,10,4.83,21,2015,1.763017,2015,5,26,18,Very Low,2015
CPAP Machine,B. 401,B. Braun,Rev. 8.1,21-05-2016,Class IIb,HDE139245,Neonatal,Designed for surgical intervention support in neonatal intensive care environments.,Do not use during general anesthesia administration or in comatose.,Hydrogen Peroxide Plasma,9,3,7,12.61,16,2016,2.610804817,2016,5,21,12,Low,2016
Anesthesia Machine,BOS772,Boston Scientific,Rev. 8.0,2-03-2015,Class IIa,UKCA62051,Neonatal,Indicated for continuous central venous pressure monitoring during orthopedic surgical procedures.,Avoid use in patients with clips and coils or shunts. Not suitable for training scenarios.,Not Applicable,24,22,15,17.26,28,2015,2.904712875,2015,3,2,46,Low,2015
Pacemaker,B-9553,Cook Medical,Version 5,22-11-2021,Class IIa,HDE781984,Pediatric (2-18),Indicated for hemoglobin levels optimization in sleep medicine centers for respiratory disorders.,Contraindicated in patients with severe respiratory failure or uncontrolled severe diabetes.,Not Applicable,2,9,9.758918071,0.05,39,2021,0.048790164,2021,11,22,11,Very Low,2021
Pacemaker,Plus419,Thermo Fisher Scientific,2023-03-F,28-05-2024,Class III,NDA582457,Geriatric,Designed for wound debridement facilitation in telemedicine and remote patient monitoring.,Avoid use in patients with metallic implants or shunts. Not suitable for emergency situations.,Steam Sterilization,6,12,20,0.06,38,2024,0.058268908,2024,5,28,18,Very Low,2024
Electrosurgical Unit,Pro376,Coloplast,Version 10,6-08-2019,Class IIb,D568800,Geriatric,Designed for home-based fluid resuscitation in stable organ transplant patients with chronic renal failure.,Contraindicated in presence of gadolinium agents or during therapeutic ultrasound.,Pre-Sterilized,23,30,5,15.78,26.7,2019,2.820187701,2019,8,6,53,Low,2019
Stent,Max365,Medtronic,Version 10,29-12-2019,Class IIb,PMA925436,Neonatal,Indicated for emergency ECG readings stabilization in trauma center resuscitation rooms.,Avoid use in patients with bleeding disorders or severe severe cardiac arrhythmias.,Ethylene Oxide (EtO),4,9,9.758918071,0.01,39,2019,0.009950331,2019,12,29,13,Very Low,2019
Pacemaker,Plus946,Resmed,Rev. 4.2,6-01-2020,Class I,TGA-131758,Neonatal,Used for long-term cardiac therapy delivery in ambulatory care settings for renal failure patients.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,10,3,17,0.12,41,2020,0.113328685,2020,1,6,13,Very Low,2020
CPAP Machine,WAT282,Waters Corporation,2023-04-J,31-07-2024,Class III,UKCA28660,Infant (0-2),Used for long-term compression therapy delivery in ambulatory care settings for neurological disorders patients.,Do not use if battery depletion is detected or quality control has expired.,Single-Use Sterile,3,5,4,18.77,24,2024,2.984165637,2024,7,31,8,Low,2024
Electrosurgical Unit,Model 7681,Convatec,Rev. 6.6,15-12-2019,Class I,CE5295,Geriatric,Intended for hemodialysis delivery in palliative care settings for terminal patients.,Contraindicated in patients with autoimmune disorders or on sedatives.,Single-Use Sterile,17,13,13,16.89,40,2019,2.884241898,2019,12,15,30,Low,2019
Defibrillator,BEC245,Becton Dickinson,2023-11-O,17-06-2021,Class III,CE5817,Pediatric (2-18),Used for emergency tissue biopsy in acute chronic conditions situations requiring immediate care.,Avoid use in patients with gastric bands or pins and wires. Not suitable for extreme temperature environments.,UV Sterilization,24,17,15,8.21,33,2021,2.22028985,2021,6,17,41,Very Low,2021
Surgical Robot,Model 4152,Getinge,Rev. 10.7,2-04-2025,Class III,TGA-971793,Pediatric,Designed for perioperative pH levels management during orthopedic interventions.,Contraindicated in presence of chemotherapy drugs or during electrical cardioversion.,Autoclave,20,29,7,13.14,21,2025,2.64900766,2025,4,2,49,Low,2025
Infusion Pump,Model 7445,Karl Storz,2025-02-H,1-01-2015,Class I,BLA489078,Pediatric (2-18),Designed for hemodialysis support in neonatal intensive care environments.,Avoid use if patient has renal insufficiency or history of embolism.,Gamma Irradiation,9,11,6,6.6,35,2015,2.028148247,2015,1,1,20,Very Low,2015
Orthopedic Implant,STR640,Stryker,v11.6,9-03-2022,Class I,K940781,Adult,Designed for medication administration facilitation in telemedicine and remote patient monitoring.,Contraindicated in patients with severe renal insufficiency or uncontrolled coagulopathy.,Pre-Sterilized,8,3,7,0.02,41,2022,0.019802627,2022,3,9,11,Very Low,2022
Anesthesia Machine,Max877,Convatec,2020-09-J,15-02-2018,Class III,P648976,Adult (>65),Indicated for respiratory rate analysis in laboratory diagnostic testing environments.,Do not use in patients with coagulopathy. Contraindicated in explosive atmospheres.,Steam Sterilization,12,23,9.758918071,78.81,8,2018,4.37964881,2018,2,15,35,Very Heavy,2018
Pulse Oximeter,X-1591,3M Healthcare,Version 3,20-02-2015,Class I,HC-269134,Adult (>65),Intended for sterilization verification in quality assurance and device validation protocols.,Do not use in combination with bronchodilators or oxygen therapy modalities.,Steam Sterilization,10,11,5,0.32,18,2015,0.277631737,2015,2,20,21,Very Low,2015
Wound Care System,Model 4793,B. Braun,v1.0,14-11-2021,Class I,BLA473067,Adult (>65),Intended for monitoring and measuring pulmonary function in morbidly obese patients in hospital and clinical settings.,Not recommended for patients with active infections or severe uncontrolled seizures.,UV Sterilization,5,9,15,7.07,35,2021,2.088153482,2021,11,14,14,Very Low,2021
Pacemaker,B-2048,Thermo Fisher Scientific,v2.0,10-01-2018,Class IIb,IVDR-345481,Neonatal,Designed for symptom relief in patients with respiratory conditions under medical supervision.,Do not use in combination with antiseptics or chemotherapy modalities.,UV Sterilization,10,4,25,0.04,39,2018,0.039220713,2018,1,10,14,Very Low,2018
Stent,X-9742,Medtronic,2024-06-E,31-07-2015,Class III,NMPA-472885,Adult and Pediatric,Used for intraoperative patient positioning monitoring during complex oncological surgeries.,Do not use in patients with renal insufficiency. Contraindicated in fire hazard zones.,Hydrogen Peroxide Plasma,2,4,20,0.09,37,2015,0.086177696,2015,7,31,6,Very Low,2015
Pacemaker,BAX856,Baxter International,Rev. 1.7,29-05-2017,Class I,HDE330175,Neonatal,Intended for assessment support in cardiac catheterization laboratory environments.,Do not use if battery depletion is detected or quality control has expired.,Dry Heat,8,10,14,0.01,41,2017,0.009950331,2017,5,29,18,Very Low,2017
Ventilator,Model 4802,Abbott,v3.0,15-04-2024,Class I,CE5027,Neonatal,Used for therapeutic fluid resuscitation in hemodynamically unstable patients requiring medication administration.,Not recommended in presence of peripheral vascular disease or at open wounds locations.,Dry Heat,14,28,13,70.64,7,2024,4.271653577,2024,4,15,42,Very Heavy,2024
Blood Glucose Monitor,Model 9656,Waters Corporation,v10.2,28-05-2022,Class II,K635876,All,Indicated for routine quality control screening in outpatient clinical facilities.,Do not use if battery depletion is detected or quality control has expired.,Ethylene Oxide (EtO),5,20,4,0.13,35,2022,0.122217633,2022,5,28,25,Very Low,2022
Stent,ROC939,Roche,Rev. 3.8,28-08-2017,Class I,NMPA-676343,Neonatal,Intended for device maintenance guidance during minimally invasive laparoscopic procedures.,Avoid use if patient has severe diabetes or history of blood clots.,Gamma Irradiation,8,11,12,0.1,37,2017,0.09531018,2017,8,28,19,Very Low,2017
Catheter,Model 1899,Olympus Corporation,Rev. 1.2,20-11-2021,Class I,MDR-631722,Pediatric,Designed for symptom relief in patients with chronic conditions under medical supervision.,"Not recommended during pregnancy, lactation, or in hemodynamically unstable under 20 years.",Dry Heat,6,12,10,18.72,27,2021,2.981633349,2021,11,20,18,Low,2021
Electrosurgical Unit,Plus699,Fresenius Medical Care,2025-01-M,13-11-2018,Class IIa,HDE549380,Pediatric,Indicated for emergency respiratory rate stabilization in trauma center resuscitation rooms.,Avoid use if patient has stroke or history of blood clots.,Steam Sterilization,24,17,12,17.87,10,2018,2.937573359,2018,11,13,41,Low,2018
Anesthesia Machine,Max205,Beckman Coulter,v3.7,21-11-2016,Class I,PMDA-663783,Adult,Intended for patient positioning verification in quality assurance and device validation protocols.,Avoid use in patients with active severe cardiac arrhythmias or compromised cardiovascular function.,Ethylene Oxide (EtO),20,26,13,17.54,26.7,2016,2.91993056,2016,11,21,46,Low,2016
Anesthesia Machine,RES408,Resmed,v4.2,3-03-2022,Class IIb,MDR-336963,All,Indicated for real-time vital signs assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Autoclave,20,23,11,40.08,17,2022,3.715521385,2022,3,3,43,Very Heavy,2022
Surgical Robot,ZEI158,Zeiss Medical Technology,2021-01-M,4-09-2017,Class I,IVDR-977044,Geriatric,Designed for life support assistance in geriatric care facilities for elderly patients.,Contraindicated in presence of sedatives or during microwave diathermy.,Steam Sterilization,24,22,6,5.85,30,2017,1.924248652,2017,9,4,46,Very Low,2017
ECG Machine,B-4864,Smith & Nephew,Rev. 1.3,10-10-2022,Class IIb,TGA-544794,All,Intended for surgical orthopedic procedures in operating room settings.,Do not use in patients with metal implants or severe coagulopathy.,Single-Use Sterile,8,9,8,6.8,38,2022,2.054123734,2022,10,10,17,Very Low,2022
Pulse Oximeter,BIO576,Biomérieux,2022-12-K,27-10-2021,Class IIb,CE5653,Pediatric (2-18),Used for post-operative thermal therapy management in hospital recovery units.,Not suitable for use with vasoconstrictors or in cleaning protocols.,Not Applicable,8,4,4,0.26,15,2021,0.231111721,2021,10,27,12,Very Low,2021
Ventilator,Model 1874,Cardinal Health,Rev. 7.5,19-11-2021,Class I,PMDA-304900,All,Indicated for real-time blood pressure assessment in emergency department triage protocols.,Avoid use in patients with coagulopathy or severe thrombocytopenia.,Hydrogen Peroxide Plasma,15,13,16,49.39,5,2021,3.919792743,2021,11,19,28,Very Heavy,2021
Blood Glucose Monitor,DEN334,Dentsply Sirona,2021-03-R,23-03-2015,Class IIa,CE6074,Geriatric,Intended for monitoring and measuring glucose levels in post-operative patients in hospital and clinical settings.,Do not use if battery depletion is detected or quality control has expired.,Pre-Sterilized,11,17,4,0.48,33,2015,0.392042088,2015,3,23,28,Very Low,2015
X-Ray Machine,Plus824,Resmed,Version 17,21-03-2019,Class III,HC-259385,All,Used for post-operative phototherapy management in hospital recovery units.,"Not recommended during pregnancy, lactation, or in critically ill under 19 years.",Hydrogen Peroxide Plasma,6,4,8,15.44,13,2019,2.79971739,2019,3,21,10,Low,2019
Surgical Drill,B-6624,Idexx Laboratories,Rev. 6.5,30-06-2021,Class I,PMA760725,Geriatric,Designed for disease management in patients with sleep apnea under medical supervision.,Contraindicated in patients with severe cardiac arrhythmias or burns risk.,Ethylene Oxide (EtO),15,22,12,2.32,18,2021,1.199964783,2021,6,30,37,Very Low,2021
Nebulizer,Max477,Mölnlycke Health Care,Rev. 3.3,28-01-2021,Class II,CE7484,Adult,Indicated for pH levels surveillance in infection control protocols.,Avoid use if patient has severe anemia or history of embolism.,Ethylene Oxide (EtO),10,4,12,2.18,26,2021,1.156881197,2021,1,28,14,Very Low,2021
Digital Thermometer,Model 3815,Waters Corporation,2020-03-A,6-04-2023,Class IIb,K247901,Infant (0-2),Designed for home-based drug delivery in stable pediatric patients with chronic cancer.,Avoid use in patients with malignant hyperthermia or altered consciousness.,UV Sterilization,5,8,5,0.38,24,2023,0.322083499,2023,4,6,13,Very Low,2023
Surgical Drill,GET208,Getinge,v1.4,17-05-2021,Class II,P888201,Pediatric,Indicated for central venous pressure analysis in laboratory diagnostic testing environments.,Do not use if malformations is present or wound is infected.,Pre-Sterilized,18,26,10,12.87,20,2021,2.629728234,2021,5,17,44,Low,2021
Stent,Model 7199,Thermo Fisher Scientific,Rev. 4.7,12-11-2016,Class IIa,IDE266399,Adult and Pediatric,Designed for home-based fluid resuscitation in stable post-operative patients with chronic trauma.,Do not use if battery depletion is detected or quality control has expired.,Hydrogen Peroxide Plasma,2,4,17,0.2,40,2016,0.182321557,2016,11,12,6,Very Low,2016
Surgical Drill,Pro525,Intuitive Surgical,Rev. 6.7,5-08-2016,Class III,PMA683845,Adult (18-65),Designed for intubation support in neonatal intensive care environments.,Avoid use in patients with coagulopathy or uncontrolled epilepsy.,Not Applicable,10,12,9,13.57,12,2016,2.67896462,2016,8,5,22,Low,2016
X-Ray Machine,Model 3925,Siemens Healthineers,Version 17,13-06-2025,Class I,IVDR-721508,Adult,Indicated for real-time oxygen saturation assessment in emergency department triage protocols.,Contraindicated in patients with thrombocytopenia or unable to remain still.,Ethylene Oxide (EtO),4,6,12,3.64,26.7,2025,1.534714366,2025,6,13,10,Very Low,2025
Blood Glucose Monitor,SYN481,Synthes,2021-02-Q,14-01-2025,Class III,BLA568395,Adult (>65),Intended for monitoring and measuring respiratory rate in diabetic patients in hospital and clinical settings.,Not suitable for use in patient transport with fire or during cleaning protocols.,Ethylene Oxide (EtO),15,20,6,0.1,29,2025,0.09531018,2025,1,14,35,Very Low,2025
Digital Thermometer,ALC132,Alcon,v14.3,17-09-2016,Class II,CE3797,Pediatric,Indicated for vital signs optimization in sleep medicine centers for respiratory disorders.,Do not use during general anesthesia administration or in sedated.,Dry Heat,4,6,4,0.41,26,2016,0.343589704,2016,9,17,10,Very Low,2016
Syringe Pump,FRE704,Fresenius Medical Care,v15.3,31-05-2017,Class III,K831263,Pediatric (2-18),Used for emergency catheterization in acute cardiac disorders situations requiring immediate care.,Do not use in combination with muscle relaxants or radiation therapy modalities.,Dry Heat,10,9,12,4.68,33,2017,1.736951233,2017,5,31,19,Very Low,2017
CPAP Machine,Max387,Convatec,2024-07-O,30-06-2015,Class III,NDA391077,Adult and Pediatric,Indicated for routine alarm management screening in outpatient clinical facilities.,Do not use if battery depletion is detected or quality control has expired.,Chemical Sterilization,8,8,9,14.42,29,2015,2.735665368,2015,6,30,16,Low,2015
Surgical Drill,Model 6054,Dexcom,v8.2,19-11-2018,Class IIb,NDA298384,Adult (>65),Used for chemotherapy guidance in oncology treatment centers for cancer patients.,Avoid use in patients with stroke or uncontrolled epilepsy.,Not Applicable,24,16,7,13.55,28,2018,2.677590994,2018,11,19,40,Low,2018
Syringe Pump,Pro421,3M Healthcare,Version 6,2-12-2023,Class I,UKCA73220,All,Used for thermal therapy administration in pediatric hospital units under specialist supervision.,Do not use if battery depletion is detected or quality control has expired.,UV Sterilization,9,20,12,6.51,24,2023,2.016235466,2023,12,2,29,Very Low,2023
Dialysis Machine,FRE198,Fresenius Medical Care,Rev. 8.2,7-05-2025,Class III,K853791,Neonatal,Intended for monitoring and measuring ECG readings in neonatal patients in hospital and clinical settings.,Avoid use if patient has severe diabetes or is receiving cleaning solvents.,Single-Use Sterile,6,15,20,111.72,18,2025,4.724906868,2025,5,7,21,Very Heavy,2025
X-Ray Machine,Pro466,Philips Healthcare,v1.6,22-02-2022,Class III,PMDA-982485,All,Designed for perioperative heart rate management during emergency interventions.,Contraindicated in presence of conductive gels or during radiofrequency ablation.,Dry Heat,2,7,13,2.09,15,2022,1.128171091,2022,2,22,9,Very Low,2022
Syringe Pump,Max108,Terumo,v4.2,2-12-2023,Class IIa,P658832,Pediatric (2-18),Indicated for temperature surveillance in infection control protocols.,Contraindicated in presence of chemotherapy drugs or during ultrasound therapy.,Dry Heat,11,12,6,7.69,15,2023,2.162172939,2023,12,2,23,Very Low,2023
Defibrillator,Model 8520,Resmed,Rev. 1.2,1-11-2017,Class I,NDA720792,All,Used for intraoperative sterilization monitoring during complex laparoscopic surgeries.,Avoid use in patients with respiratory failure or uncontrolled severe hypertension.,Not Applicable,22,26,14,18.7,27,2017,2.980618636,2017,11,1,48,Low,2017
Ultrasound Scanner,STE275,Steris,Rev. 8.1,21-07-2022,Class III,Q783218,Infant (0-2),Intended for symptom relief evaluation in rehabilitation medicine for critical illness recovery.,Do not use if structural defects is present or incision is infected.,Single-Use Sterile,9,5,10,16.8,32,2022,2.879198457,2022,7,21,14,Low,2022
Ultrasound Scanner,Model 2282,3M Healthcare,Rev. 7.8,3-08-2015,Class II,PMA172589,Adult (>65),Designed for pacemaker implantation facilitation in telemedicine and remote patient monitoring.,Not suitable for use during microwave diathermy or X-ray.,Ethylene Oxide (EtO),10,6,4,15.35,26,2015,2.794227897,2015,8,3,16,Low,2015
Ultrasound Scanner,Max184,Hologic,Version 13,30-05-2022,Class IIb,CE5598,Adult (18-65),Indicated for real-time intracranial pressure assessment in emergency department triage protocols.,Do not use if battery depletion is detected or quality control has expired.,Autoclave,3,4,7,0.68,18,2022,0.518793793,2022,5,30,7,Very Low,2022
Orthopedic Implant,A-5320,Idexx Laboratories,Rev. 5.9,31-01-2023,Class I,NDA390429,Geriatric,Indicated for blood gas analysis optimization in sleep medicine centers for respiratory disorders.,Do not use if structural defects is present or incision is infected.,Single-Use Sterile,6,10,14,0.17,40,2023,0.157003749,2023,1,31,16,Very Low,2023
Anesthesia Machine,Max683,Johnson & Johnson,Rev. 6.9,28-12-2017,Class IIb,BLA867028,Infant (0-2),Intended for surgical intervention delivery in palliative care settings for terminal patients.,Not recommended for patients with peripheral vascular disease or severe active infections.,Not Applicable,12,21,8,92.04,23,2017,4.533029508,2017,12,28,33,Very Heavy,2017
Infusion Pump,A-8042,Cardinal Health,v5.1,20-03-2021,Class III,HC-981554,Geriatric,Intended for assessment guidance during minimally invasive endoscopic procedures.,Contraindicated in presence of electromagnetic fields or strong magnetic fields exposure.,Pre-Sterilized,14,13,11,6.5,26,2021,2.014903021,2021,3,20,27,Very Low,2021
Catheter,Plus116,Abbott,Rev. 5.3,4-08-2015,Class III,H174696,Geriatric,Intended for measurement support in cardiac catheterization laboratory environments.,Contraindicated in patients with pacemakers or unable to follow instructions.,Chemical Sterilization,4,3,8,3.26,38,2015,1.44926916,2015,8,4,7,Very Low,2015
Defibrillator,Pro279,Siemens Healthineers,Rev. 10.0,11-01-2018,Class II,NMPA-380281,Adult (>65),Designed for wound irrigation optimization in chronic disease management programs.,Contraindicated in patients with hepatic dysfunction or severe skin allergies.,Hydrogen Peroxide Plasma,20,15,5,5.3,19,2018,1.840549633,2018,1,11,35,Very Low,2018
